# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-multicol_baseline-004_html | POLLUTED | 0.12% | 1.14% |
| css_css-multicol_baseline-005_html | POLLUTED | 0.12% | 1.12% |
| css_css-multicol_baseline-006_html | POLLUTED | 0.14% | 1.14% |
| css_css-multicol_baseline-007_html | self-fail | 1.04% | 1.63% |
| css_css-multicol_baseline-008_html | self-fail | 1.46% | 1.76% |
| css_css-multicol_broken-column-rule-1_html | self-pass | 0.10% | 0.10% |
| css_css-multicol_change-fragmentainer-size-000_html | self-fail | 1.56% | 2.35% |
| css_css-multicol_change-fragmentainer-size-001_html | self-fail | 2.08% | 2.90% |
| css_css-multicol_change-fragmentainer-size-002_html | self-fail | 7.81% | 8.63% |
| css_css-multicol_change-fragmentainer-size-003_html | self-fail | 1.56% | 2.38% |
