# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_backgrounds_background-position-133_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-134_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-135_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-136_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-137_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-138_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-139_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-140_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-141_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-142_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-143_xht | self-fail | 3.84% | 4.28% |
| css_CSS2_backgrounds_background-position-144_xht | self-fail | 3.84% | 4.28% |
| css_CSS2_backgrounds_background-position-145_xht | self-fail | 3.84% | 4.28% |
| css_CSS2_backgrounds_background-position-146_xht | self-fail | 3.84% | 4.28% |
| css_CSS2_backgrounds_background-position-147_xht | self-fail | 3.84% | 4.28% |
| css_CSS2_backgrounds_background-position-148_xht | self-fail | 3.84% | 4.28% |
| css_CSS2_backgrounds_background-position-149_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-150_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-151_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-152_xht | self-fail | 3.50% | 4.50% |
| css_CSS2_backgrounds_background-position-applies-to-001_xht | POLLUTED | 0.25% | 1.90% |
| css_CSS2_backgrounds_background-position-applies-to-001a_xht | POLLUTED | 0.09% | 1.04% |
| css_CSS2_backgrounds_background-position-applies-to-001b_xht | self-fail | 0.89% | 1.68% |
| css_CSS2_backgrounds_background-position-applies-to-001c_xht | self-pass | 0.00% | 0.81% |
| css_CSS2_backgrounds_background-position-applies-to-001d_xht | self-pass | 0.00% | 0.81% |
| css_CSS2_backgrounds_background-position-applies-to-001e_xht | self-pass | 0.00% | 0.81% |
| css_CSS2_backgrounds_background-position-applies-to-002_xht | POLLUTED | 0.25% | 1.90% |
| css_CSS2_backgrounds_background-position-applies-to-002a_xht | POLLUTED | 0.09% | 1.04% |
| css_CSS2_backgrounds_background-position-applies-to-002b_xht | self-fail | 0.89% | 1.68% |
| css_CSS2_backgrounds_background-position-applies-to-002c_xht | self-pass | 0.00% | 0.81% |
| css_CSS2_backgrounds_background-position-applies-to-002d_xht | self-pass | 0.00% | 0.81% |
| css_CSS2_backgrounds_background-position-applies-to-002e_xht | self-pass | 0.00% | 0.81% |
| css_CSS2_backgrounds_background-position-applies-to-003_xht | POLLUTED | 0.25% | 1.90% |
| css_CSS2_backgrounds_background-position-applies-to-003b_xht | self-fail | 0.89% | 1.68% |
| css_CSS2_backgrounds_background-position-applies-to-003c_xht | self-fail | 1.00% | 1.81% |
